,matpes_id,formula_pretty,cohesive_energy_per_atom
0,mp-862690,Ac,-3.5496903275000022
1,mp-1183069,Ac,-3.541487756666669
2,mp-10018,Ac,-3.529483420000005
3,mp-1183057,Ac,-3.52695394666667
4,matpes-20240214_1183069_3,Ac,-3.445398746666673
5,matpes-20240214_1183069_6,Ac,-3.439710006666672
6,matpes-20240214_1183069_7,Ac,-3.412485093333335
7,matpes-20240214_1183069_1,Ac,-3.405543520000009
8,matpes-20240214_1183069_0,Ac,-3.345503406666675
9,matpes-20240214_1183069_8,Ac,-3.308700513333339
10,matpes-20240214_1183057_0,Ac,-3.304854356666671
11,matpes-20240214_1183069_2,Ac,-3.199853723333338
12,matpes-20240214_1183069_9,Ac,-3.146957360000006
13,matpes-20240214_1183069_5,Ac,-3.133146720000003
14,matpes-20240214_1183069_4,Ac,-3.12263693666667
15,matpes-20240214_861724_12,Ac2AgIr,-4.755810085000007
16,matpes-20240214_861724_0,Ac2AgIr,-4.6933161325000095
17,mp-861724,Ac2AgIr,-4.693205427500004
18,matpes-20240214_861724_2,Ac2AgIr,-4.677171412500009
19,matpes-20240214_861724_5,Ac2AgIr,-4.667058815000004
20,matpes-20240214_861724_14,Ac2AgIr,-4.663462832500009
21,matpes-20240214_861724_3,Ac2AgIr,-4.6422565900000095
22,matpes-20240214_861724_7,Ac2AgIr,-4.579764847500009
23,matpes-20240214_861724_9,Ac2AgIr,-4.571443982500007
24,matpes-20240214_861724_1,Ac2AgIr,-4.546909642500005
25,matpes-20240214_861724_6,Ac2AgIr,-4.505862372500005
26,matpes-20240214_861724_4,Ac2AgIr,-4.396280607500003
27,matpes-20240214_861724_16,Ac2AgIr,-4.318022770000006
28,matpes-20240214_861724_13,Ac2AgIr,-4.280606450000008
29,matpes-20240214_861724_10,Ac2AgIr,-4.259712407500004
30,matpes-20240214_861724_17,Ac2AgIr,-4.257904977500004
31,matpes-20240214_861724_8,Ac2AgIr,-4.240849527500003
32,matpes-20240214_861724_15,Ac2AgIr,-3.887728447500009
33,matpes-20240214_861724_11,Ac2AgIr,-3.848903692500009
34,matpes-20240214_1183076_0,Ac2AgPb,-3.712081035000004
35,mp-1183076,Ac2AgPb,-3.712075607500004
36,matpes-20240214_1183076_1,Ac2AgPb,-3.6631474625000062
37,matpes-20240214_1183076_2,Ac2AgPb,-3.045708827500007
38,matpes-20240214_1207297_5,Ac2Br2O,-4.622060044000006
39,matpes-20240214_1207297_4,Ac2Br2O,-4.547426002000004
40,matpes-20240214_1207297_1,Ac2Br2O,-4.382026176000005
41,mp-1207297,Ac2Br2O,-3.935507194000007
42,matpes-20240214_1207297_0,Ac2Br2O,-3.935505954000007
43,mp-1183063,Ac2CdGe,-3.473093192500002
44,matpes-20240214_1183063_0,Ac2CdGe,-3.184269012500003
45,matpes-20240214_1183063_2,Ac2CdGe,-3.006330567500001
46,matpes-20240214_1183063_1,Ac2CdGe,-2.485398180000004
47,mp-862319,Ac2CdSn,-3.428521122500001
